bits,operation,nodes,gates,depth,width,build_ms
8,add,56,40,10,16,0.003800
8,subtract,66,50,12,16,0.001700
8,increment,24,16,5,8,0.005500
8,multiply,156,140,15,36,0.012400
8,multiply_13,54,46,10,11,0.003100
8,13_multiply,54,46,10,11,0.002600
8,divide,477,461,90,17,0.022900
8,remainder,550,534,99,17,0.012200
8,divide_8,6,0,0,6,0.001000
8,remainder_8,4,0,0,4,0.000900
8,divide_10,126,117,44,9,0.008200
8,remainder_10,138,129,48,9,0.006800
8,37_divide,332,324,58,17,0.010800
8,37_remainder,399,391,67,17,0.009900
32,add,284,220,18,64,0.004100
32,subtract,318,254,20,64,0.004300
32,increment,116,84,9,32,0.005700
32,multiply,3061,2997,36,528,0.098000
32,multiply_13,378,346,20,59,0.008600
32,13_multiply,378,346,20,59,0.008100
32,divide,8597,8533,504,64,0.158000
32,remainder,8966,8902,523,64,0.130800
32,divide_8,30,0,0,30,0.002100
32,remainder_8,4,0,0,4,0.001800
32,divide_10,798,765,260,33,0.024800
32,remainder_10,786,753,264,33,0.022900
32,37_divide,1456,1424,80,60,0.032300
32,37_remainder,1819,1787,99,60,0.030200
64,add,598,470,22,128,0.006700
64,subtract,664,536,24,128,0.007900
64,increment,242,178,11,64,0.008900
64,multiply,12440,12312,46,2080,0.292200
64,multiply_13,820,756,24,123,0.021600
64,13_multiply,820,756,24,123,0.014700
64,divide,35417,35289,1143,128,0.747600
64,remainder,36194,36066,1167,128,0.476200
64,divide_8,62,0,0,62,0.004100
64,remainder_8,4,0,0,4,0.002700
64,divide_10,1694,1629,548,65,0.047700
64,remainder_10,1650,1585,552,65,0.044900
64,37_divide,2978,2914,95,122,0.060500
64,37_remainder,3749,3685,119,122,0.060300
256,add,2506,1994,30,512,0.024400
256,subtract,2764,2252,32,512,0.031200
256,increment,1006,750,15,256,0.022500
256,multiply,197879,197367,64,32896,4.447700
256,multiply_13,3496,3240,32,507,0.061300
256,13_multiply,3496,3240,32,507,0.060400
256,divide,582433,581921,6130,512,9.909200
256,remainder,585690,585178,6163,512,9.452900
256,divide_8,254,0,0,254,0.011800
256,remainder_8,4,0,0,4,0.007400
256,divide_10,7070,6813,2276,257,0.170100
256,remainder_10,6834,6577,2280,257,0.166500
256,37_divide,12166,11910,126,475,0.257100
256,37_remainder,15417,15161,160,475,0.229800
