bits,operation,nodes,gates,depth,width,build_ms
8,add,50,34,14,16,0.006700
8,subtract,63,47,21,16,0.001400
8,increment,22,14,7,8,0.001000
8,multiply,348,332,38,64,0.013500
8,multiply_13,51,43,12,11,0.009000
8,13_multiply,245,237,31,54,0.010100
8,divide,397,381,150,16,0.014900
8,remainder,456,440,152,16,0.008700
8,divide_8,116,107,48,13,0.008600
8,remainder_8,144,136,53,13,0.007800
8,divide_10,211,202,88,15,0.008500
8,remainder_10,248,240,89,15,0.008200
8,37_divide,370,362,140,16,0.009300
8,37_remainder,429,421,142,16,0.008500
32,add,218,154,62,64,0.004600
32,subtract,279,215,93,64,0.003400
32,increment,94,62,31,32,0.006600
32,multiply,6360,6296,182,1024,0.135900
32,multiply_13,315,283,60,59,0.096900
32,13_multiply,2813,2781,175,618,0.091100
32,divide,6205,6141,2142,64,0.085400
32,remainder,6456,6392,2144,64,0.078700
32,divide_8,2480,2447,1008,61,0.072500
32,remainder_8,2652,2620,1013,61,0.071200
32,divide_10,2959,2926,1192,63,0.072700
32,remainder_10,3140,3108,1193,63,0.071100
32,37_divide,6082,6050,2084,64,0.083100
32,37_remainder,6333,6301,2086,64,0.078200
64,add,442,314,126,128,0.004200
64,subtract,567,439,189,128,0.005800
64,increment,190,126,63,64,0.011000
64,multiply,26024,25896,374,4096,0.431300
64,multiply_13,667,603,124,123,0.310600
64,13_multiply,9821,9757,367,2266,0.288900
64,divide,24701,24573,8382,128,0.272300
64,remainder,25208,25080,8384,128,0.259300
64,divide_8,10112,10047,4080,125,0.226600
64,remainder_8,10476,10412,4085,125,0.226600
64,divide_10,11103,11038,4456,127,0.225500
64,remainder_10,11476,11412,4457,127,0.223500
64,37_divide,24450,24386,8260,128,0.272200
64,37_remainder,24957,24893,8262,128,0.270400
256,add,1786,1274,510,512,0.015500
256,subtract,2295,1783,765,512,0.021600
256,increment,766,510,255,256,0.014900
256,multiply,423560,423048,1526,65536,6.646200
256,multiply_13,2779,2523,508,507,4.575600
256,13_multiply,137885,137629,1519,33658,6.179800
256,divide,393725,393213,131838,512,4.759200
256,remainder,395768,395256,131840,512,5.586400
256,divide_8,163424,163167,65520,509,3.292100
256,remainder_8,164940,164684,65525,509,3.330400
256,divide_10,167487,167230,67048,511,3.190700
256,remainder_10,169012,168756,67049,511,3.459000
256,37_divide,392706,392450,131332,512,5.999400
256,37_remainder,394749,394493,131334,512,5.152500
