algorithm,message_hex,unknown_bits,engine,budget,target_hex,output_bits,nodes,gates,inputs,constants,edges,depth,width,gate_width,max_fanout,xor_gates,and_gates,or_gates,not_gates,output_depth_min,output_depth_mean,output_depth_max,build_ms,metrics_ms,equality_nodes,equality_depth,equality_width,status,solve_ms,decisions,conflicts,propagations,search_steps,solutions,affine_active,recovered_hex,recovered_verified,process_ms,process_timeout_s,process_returncode,forward_record,native_domain,native_trials,native_matches,native_total_ms,native_first_trials,native_first_ms,native_first_hex,native_exhaustive,error,extra_json
crc32,61626364,4,shape,2000000,ed82cd11,32,573,569,4,0,925,16,62,62,38,356,0,0,213,13,14.78125,16,0.124,0.13,,,,shape_only,,,,,,,,,False,277.3894999991171,20.0,0,True,16,16,1,0.023399999918183312,2,0.008900000466383062,61626364,True,,
crc32,61626364,4,dpll,2000000,ed82cd11,32,573,569,4,0,925,16,62,62,38,356,0,0,213,13,14.78125,16,0.114,0.119,589,45,62,sat,0.124,0,0,589,1573,1,False,61626364,True,6.76979999843752,20.0,0,True,16,16,1,0.023399999918183312,2,0.008900000466383062,61626364,True,,
crc32,61626364,8,shape,2000000,ed82cd11,32,593,585,8,0,975,17,62,62,25,390,0,0,195,14,15.34375,17,0.115,0.141,,,,shape_only,,,,,,,,,False,5.745399999796064,20.0,0,True,256,256,1,0.17180000031657983,98,0.07089999962772708,61626364,True,,
crc32,61626364,8,dpll,2000000,ed82cd11,32,593,585,8,0,975,17,62,62,25,390,0,0,195,14,15.34375,17,0.115,0.139,609,45,62,sat,0.113,0,0,609,1651,1,False,61626364,True,6.476500000644592,20.0,0,True,256,256,1,0.17180000031657983,98,0.07089999962772708,61626364,True,,
md5,61626364,4,shape,2000000,e2fc714c4727ee9395f324cd2e7f331f,128,31615,31611,4,0,60610,2880,25,25,20,11478,11436,6085,2612,2692,2792.132812,2880,0.873,8.877,,,,shape_only,,,,,,,,,False,15.565200001219637,20.0,0,True,16,16,1,0.028399999791872688,2,0.009499999578110874,61626364,True,,
md5,61626364,4,dpll,2000000,e2fc714c4727ee9395f324cd2e7f331f,128,31615,31611,4,0,60610,2880,25,25,20,11478,11436,6085,2612,2692,2792.132812,2880,0.848,7.215,31810,2953,25,sat,15.579,19,8,195009,572334,1,False,61626364,True,36.91210000033607,20.0,0,True,16,16,1,0.028399999791872688,2,0.009499999578110874,61626364,True,,
md5,61626364,8,shape,2000000,e2fc714c4727ee9395f324cd2e7f331f,128,31751,31743,8,0,60869,2880,25,25,20,11521,11491,6114,2617,2692,2792.132812,2880,0.873,7.329,,,,shape_only,,,,,,,,,False,14.99110000077053,20.0,0,True,256,256,1,0.3372999999555759,98,0.12650000098801684,61626364,True,,
md5,61626364,8,dpll,2000000,e2fc714c4727ee9395f324cd2e7f331f,128,31751,31743,8,0,60869,2880,25,25,20,11521,11491,6114,2617,2692,2792.132812,2880,0.909,7.908,31946,2953,25,step_limit,40.704,72,33,681114,2000000,0,False,,False,62.87919999886071,20.0,0,True,256,256,1,0.3372999999555759,98,0.12650000098801684,61626364,True,,
sha1,61626364,4,shape,2000000,81fe8bfe87576c3ecb22426f8e57847382917acf,160,45837,45833,4,0,89034,4681,61,61,157,17914,16770,8517,2632,4372,4527.79375,4681,1.305,12.019,,,,shape_only,,,,,,,,,False,20.963299999493756,20.0,0,True,16,16,1,0.03239999932702631,2,0.012099999366910197,61626364,True,,
sha1,61626364,4,dpll,2000000,81fe8bfe87576c3ecb22426f8e57847382917acf,160,45837,45833,4,0,89034,4681,61,61,157,17914,16770,8517,2632,4372,4527.79375,4681,1.375,12.399,46077,4841,61,sat,19.775,7,2,129700,382204,1,False,61626364,True,55.07869999928516,20.0,0,True,16,16,1,0.03239999932702631,2,0.012099999366910197,61626364,True,,
sha1,61626364,8,shape,2000000,81fe8bfe87576c3ecb22426f8e57847382917acf,160,47357,47349,8,0,92134,4737,88,88,119,18830,17223,8732,2564,4428,4583.79375,4737,1.315,12.455,,,,shape_only,,,,,,,,,False,21.56690000083472,20.0,0,True,256,256,1,0.3403999999136431,98,0.15320000056817662,61626364,True,,
sha1,61626364,8,dpll,2000000,81fe8bfe87576c3ecb22426f8e57847382917acf,160,47357,47349,8,0,92134,4737,88,88,119,18830,17223,8732,2564,4428,4583.79375,4737,1.308,14.358,47597,4897,88,step_limit,69.952,39,16,679856,2000000,0,False,,False,108.94779999944149,20.0,0,True,256,256,1,0.3403999999136431,98,0.15320000056817662,61626364,True,,
sha256,61626364,4,shape,2000000,88d4266fd4e6338d13b845fcf289579d209c897823b9217da3e161936f031589,256,105121,105117,4,0,206755,3795,85,85,93,47996,39224,14418,3479,3542,3672.007812,3795,2.536,33.852,,,,shape_only,,,,,,,,,False,44.51169999992999,20.0,0,True,16,16,1,0.032699999792384915,2,0.01230000088980887,61626364,True,,
sha256,61626364,4,dpll,2000000,88d4266fd4e6338d13b845fcf289579d209c897823b9217da3e161936f031589,256,105121,105117,4,0,206755,3795,85,85,93,47996,39224,14418,3479,3542,3672.007812,3795,2.475,35.208,105489,4051,85,step_limit,118.684,15,7,671810,2000000,0,False,,False,198.0411999993521,20.0,0,True,16,16,1,0.032699999792384915,2,0.01230000088980887,61626364,True,,
sha256,61626364,8,shape,2000000,88d4266fd4e6338d13b845fcf289579d209c897823b9217da3e161936f031589,256,105231,105223,8,0,206955,3795,91,91,66,48045,39256,14431,3491,3542,3672.007812,3795,2.481,36.061,,,,shape_only,,,,,,,,,False,46.26450000068871,20.0,0,True,256,256,1,0.334399999701418,98,0.1449999999749707,61626364,True,,
sha256,61626364,8,dpll,2000000,88d4266fd4e6338d13b845fcf289579d209c897823b9217da3e161936f031589,256,105231,105223,8,0,206955,3795,91,91,66,48045,39256,14431,3491,3542,3672.007812,3795,2.685,37.148,105599,4051,91,step_limit,135.816,19,7,672266,2000000,0,False,,False,226.54139999940526,20.0,0,True,256,256,1,0.334399999701418,98,0.1449999999749707,61626364,True,,
