# GCC release benchmark:256-bit product modulo2^256; native shift/add reference verifies every returned model.
# Depth is longest leaf-to-root edge count; width is max node count at equal leaf-based depth (DAG, not unfolded tree).
# Median of5 ALL-model assert_equality calls;20m search-step budget per call. Graph/build timings excluded from assertion.
# Missing unknown bits in raw assertion models are don't-cares, NOT enumerated complete256-bit candidates.
case,order,affine_requested,impossible,k_hex,target_hex,popcount,trailing_zeroes,product_nodes,product_gates,product_depth,product_width,product_gate_width,equality_nodes,equality_depth,equality_width,equality_gate_width,unfolded_equality_nodes_log10,build_ms,assert_median_ms,search_median_run_ms,assert_min_ms,assert_max_ms,status,solver_variables,assigned_bits,models,decisions,conflicts,propagations,affine_active,affine_passes,search_steps
three,unknown_x_known,1,0,0000000000000000000000000000000000000000000000000000000000000003,0369d0369d0369cd0369d0369d0369cd0369d0369d0369cd0369d0369d0369cd,2,0,1525,1269,508,509,509,1896,763,510,510,5.413637,4.621000,6.548000,5.833000,6.024000,8.320000,complete,256,256,1,0,0,1896,1,1,3098437
three,unknown_x_known,0,0,0000000000000000000000000000000000000000000000000000000000000003,0369d0369d0369cd0369d0369d0369cd0369d0369d0369cd0369d0369d0369cd,2,0,1525,1269,508,509,509,1896,763,510,510,5.413637,6.489000,0.640000,0.143000,0.595000,0.856000,complete,256,256,1,0,0,1896,0,0,5576
three,known_x_unknown,1,0,0000000000000000000000000000000000000000000000000000000000000003,0369d0369d0369cd0369d0369d0369cd0369d0369d0369cd0369d0369d0369cd,2,0,134368,134112,1016,33152,33152,134739,1271,33152,33152,122.291461,7.922000,113.727000,63.546000,97.393000,177.863000,complete,256,256,1,1016,508,756125,0,0,2286659
three,known_x_unknown,0,0,0000000000000000000000000000000000000000000000000000000000000003,0369d0369d0369cd0369d0369d0369cd0369d0369d0369cd0369d0369d0369cd,2,0,134368,134112,1016,33152,33152,134739,1271,33152,33152,122.291461,6.456000,143.560000,82.578000,75.163000,211.251000,complete,256,256,1,1016,508,756125,0,0,2286659
thirteen,unknown_x_known,1,0,000000000000000000000000000000000000000000000000000000000000000d,0eca8641fdb975230eca8641fdb975230eca8641fdb975230eca8641fdb97523,3,0,2779,2523,508,507,507,3162,763,509,509,7.639155,5.416000,15.139000,13.896000,13.788000,16.501000,complete,256,256,1,0,0,3162,1,1,8158090
thirteen,unknown_x_known,0,0,000000000000000000000000000000000000000000000000000000000000000d,0eca8641fdb975230eca8641fdb975230eca8641fdb975230eca8641fdb97523,3,0,2779,2523,508,507,507,3162,763,509,509,7.639155,4.502000,0.660000,0.115000,0.604000,0.828000,complete,256,256,1,0,0,3162,0,0,9362
thirteen,known_x_unknown,1,0,000000000000000000000000000000000000000000000000000000000000000d,0eca8641fdb975230eca8641fdb975230eca8641fdb975230eca8641fdb97523,3,0,137885,137629,1519,33658,33658,138268,1774,33658,33658,175.560097,8.202000,473.241000,425.905000,327.298000,535.243000,complete,256,256,1,4030,2015,3144131,0,0,9432030
thirteen,known_x_unknown,0,0,000000000000000000000000000000000000000000000000000000000000000d,0eca8641fdb975230eca8641fdb975230eca8641fdb975230eca8641fdb97523,3,0,137885,137629,1519,33658,33658,138268,1774,33658,33658,175.560097,19.571000,486.519000,392.913000,335.825000,547.223000,complete,256,256,1,4030,2015,3144131,0,0,9432030
dense_odd,unknown_x_known,1,0,d6e8feb86659fd93a5a3564e27f8862b9e3779b97f4a7c15bf58476d1ce4e5b9,27760de5c24665096da0f43ff91d258aefb18236b3dbeb50e2442545b93a9cb7,145,0,90249,89993,789,505,505,90634,1044,508,508,139.035247,9.929000,59.811000,12.358000,37.474000,112.223000,complete,256,256,1,0,0,90634,0,0,271776
dense_odd,unknown_x_known,0,0,d6e8feb86659fd93a5a3564e27f8862b9e3779b97f4a7c15bf58476d1ce4e5b9,27760de5c24665096da0f43ff91d258aefb18236b3dbeb50e2442545b93a9cb7,145,0,90249,89993,789,505,505,90634,1044,508,508,139.035247,14.956000,68.278000,17.745000,53.725000,73.192000,complete,256,256,1,0,0,90634,0,0,271776
dense_odd,known_x_unknown,1,0,d6e8feb86659fd93a5a3564e27f8862b9e3779b97f4a7c15bf58476d1ce4e5b9,27760de5c24665096da0f43ff91d258aefb18236b3dbeb50e2442545b93a9cb7,145,0,360531,360275,1513,65278,65278,360916,1768,65278,65278,214.518909,11.124000,721.590000,435.979000,703.393000,803.579000,step_limit,256,0,0,3704,1728,6445501,0,0,20000000
dense_odd,known_x_unknown,0,0,d6e8feb86659fd93a5a3564e27f8862b9e3779b97f4a7c15bf58476d1ce4e5b9,27760de5c24665096da0f43ff91d258aefb18236b3dbeb50e2442545b93a9cb7,145,0,360531,360275,1513,65278,65278,360916,1768,65278,65278,214.518909,11.866000,770.402000,479.034000,724.251000,845.702000,step_limit,256,0,0,3704,1728,6445501,0,0,20000000
all_ones,unknown_x_known,1,0,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,fedcba9876543210fedcba9876543210fedcba9876543210fedcba9876543211,256,0,161928,161672,1015,509,509,162312,1271,510,510,191.476690,22.167000,144.935000,36.800000,82.776000,234.511000,complete,256,256,1,0,0,162312,0,0,486811
all_ones,unknown_x_known,0,0,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,fedcba9876543210fedcba9876543210fedcba9876543210fedcba9876543211,256,0,161928,161672,1015,509,509,162312,1271,510,510,191.476690,14.081000,147.169000,34.519000,94.888000,196.684000,complete,256,256,1,0,0,162312,0,0,486811
all_ones,known_x_unknown,1,0,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,fedcba9876543210fedcba9876543210fedcba9876543210fedcba9876543211,256,0,389395,389139,1522,65282,65282,389779,1778,65282,65282,226.217831,16.476000,737.463000,348.056000,696.107000,838.053000,step_limit,256,0,0,4334,2045,6130928,0,0,20000000
all_ones,known_x_unknown,0,0,ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,fedcba9876543210fedcba9876543210fedcba9876543210fedcba9876543211,256,0,389395,389139,1522,65282,65282,389779,1778,65282,65282,226.217831,38.522000,725.636000,384.770000,709.130000,815.247000,step_limit,256,0,0,4334,2045,6130928,0,0,20000000
twelve,unknown_x_known,1,0,000000000000000000000000000000000000000000000000000000000000000c,0da740da740da7340da740da740da7340da740da740da7340da740da740da734,2,2,1514,1259,504,505,505,1882,757,506,506,5.406787,4.688000,5.447000,4.980000,5.391000,7.847000,complete,254,254,1,0,0,1882,1,1,3052499
twelve,unknown_x_known,0,0,000000000000000000000000000000000000000000000000000000000000000c,0da740da740da7340da740da740da7340da740da740da7340da740da740da734,2,2,1514,1259,504,505,505,1882,757,506,506,5.406787,6.374000,0.312000,0.066000,0.284000,0.336000,complete,254,254,1,0,0,1882,0,0,5534
twelve,known_x_unknown,1,0,000000000000000000000000000000000000000000000000000000000000000c,0da740da740da7340da740da740da7340da740da740da7340da740da740da734,2,2,134337,134080,1012,33147,33147,134705,1265,33147,33147,121.939279,23.138000,437.159000,394.929000,373.294000,491.448000,complete,256,256,4,4038,2016,2982413,0,0,9025150
twelve,known_x_unknown,0,0,000000000000000000000000000000000000000000000000000000000000000c,0da740da740da7340da740da740da7340da740da740da7340da740da740da734,2,2,134337,134080,1012,33147,33147,134705,1265,33147,33147,121.939279,7.364000,546.283000,486.288000,503.890000,679.495000,complete,256,256,4,4038,2016,2982413,0,0,9025150
twelve,unknown_x_known,1,1,000000000000000000000000000000000000000000000000000000000000000c,0da740da740da7340da740da740da7340da740da740da7340da740da740da735,2,2,1514,1259,504,505,505,1,0,1,0,0.000000,6.842000,0.017000,0.000000,0.016000,0.043000,unsat,0,0,0,0,1,0,0,0,2
shift8,unknown_x_known,1,0,0000000000000000000000000000000000000000000000000000000000000100,23456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef00,1,8,249,0,0,249,0,622,247,248,128,2.793790,6.733000,0.880000,0.774000,0.722000,1.097000,complete,248,248,1,0,0,622,1,1,353727
shift8,unknown_x_known,0,0,0000000000000000000000000000000000000000000000000000000000000100,23456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef00,1,8,249,0,0,249,0,622,247,248,128,2.793790,5.780000,0.142000,0.037000,0.129000,0.181000,complete,248,248,1,0,0,622,0,0,1743
shift8,known_x_unknown,1,0,0000000000000000000000000000000000000000000000000000000000000100,23456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef00,1,8,130705,130448,511,32860,32860,131078,513,32860,32860,77.908777,22.844000,1408.633000,1311.948000,1206.568000,1435.799000,step_limit,256,0,58,120,0,7246883,0,0,20000000
shift8,known_x_unknown,0,0,0000000000000000000000000000000000000000000000000000000000000100,23456789abcdef0123456789abcdef0123456789abcdef0123456789abcdef00,1,8,130705,130448,511,32860,32860,131078,513,32860,32860,77.908777,10.751000,1499.974000,1400.407000,1450.859000,1540.312000,step_limit,256,0,58,120,0,7246883,0,0,20000000
zero,unknown_x_known,1,0,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,256,1,0,0,1,0,1,0,1,0,0.000000,4.903000,0.003000,0.001000,0.003000,0.008000,complete,0,0,1,0,0,0,0,0,4
zero,unknown_x_known,0,0,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,256,1,0,0,1,0,1,0,1,0,0.000000,3.193000,0.003000,0.000000,0.003000,0.003000,complete,0,0,1,0,0,0,0,0,4
zero,known_x_unknown,1,0,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,256,1,0,0,1,0,1,0,1,0,0.000000,4.393000,0.005000,0.001000,0.004000,0.007000,complete,0,0,1,0,0,0,0,0,4
zero,known_x_unknown,0,0,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000000,0,256,1,0,0,1,0,1,0,1,0,0.000000,5.048000,0.005000,0.001000,0.005000,0.008000,complete,0,0,1,0,0,0,0,0,4
zero,unknown_x_known,1,1,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000000000000000000000000000000000000000000000000001,0,256,1,0,0,1,0,1,0,1,0,0.000000,4.197000,0.011000,0.000000,0.010000,0.035000,unsat,0,0,0,0,1,0,0,0,2
